Internet users (per 100 people),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Guyana,0,,,,,,0.0658541147,0.131828033,0.2640881104,3.9663547349,6.6114915657,13.2069864959,,,,,,,18.2,23.9,29.9,32
Haiti,0,,,,,,0.0074842531,,0.0239994768,0.0706584781,0.2312707146,0.3408323262,0.8934329883,1.6473583456,5.4012619076,6.376201635,6.7960004805,7.2,7.6,8.1,8.37,
Holy See,,,,,,,,,,,,,,,,,,,,,,
Honduras,0,,,,,0.0367752524,0.0437112456,0.1709964682,0.3012472137,0.5735754761,1.2038559989,1.4152819312,2.5974025974,4.8,5.6,6.5,7.8,9.4,9.6,9.8,11.09,15.9
"Hong Kong, China",0,0.1231648579,0.8661675284,1.3510220496,2.7900218603,3.212474534,4.6254470848,10.3968770511,14.59079321,21.5074890624,28.3217587549,39.3312700818,43.6743481686,52.9091427976,56.6015181763,56.8720978542,60.5862144638,64.3029994658,66.209316193,69.2441901281,71.8511570786,75.0329390096
Hungary,0,0.0033785316,0.0482757988,0.1932418673,0.4835375885,0.677645965,0.9694985011,1.9426114522,3.8940408675,5.8577789523,6.9993843253,14.5244000586,16.671091247,21.6405934033,27.7489116928,38.9695016261,47.0268428665,53.2299918654,55.9090560966,47.9022869201,52.9131967996,58.9711005917
Iceland,0,0.5042707823,1.5322265285,2.6542800265,6.7664086475,11.2162950334,14.8727163359,27.6519748394,36.4707711664,41.4467150107,44.4713245381,49.2238270278,78.9163682905,83.1982942861,84.147084369,87.0026387269,88.6932244175,88.9003376492,89.0654035424,92.136863852,95.625784097,96.6183615047
India,0,,0.0001113077,0.0002181757,0.0010695624,0.0262288788,0.0463339767,0.0707678487,0.1390273288,0.2732242767,0.5275324499,0.660146377,1.5378755818,1.6864899706,1.9761364919,2.388075,2.8054998653,3.95,4.38,5.12,7.5,10.07
Indonesia,0,,,,0.0010597444,0.0261094772,0.0566239887,0.1949102636,0.2553066463,0.444415936,0.9255638645,2.0186138595,2.134135733,2.3870197796,2.6002858763,3.6020247626,4.7648131337,5.7862747293,7.9174793849,6.92,10.92,18
Iran,0,,,,0.000408332,0.0041797524,0.0158260802,0.0467560941,0.0998152205,0.3785690945,0.93419002,1.4842213316,4.6261751149,6.933721953,7.49,8.1,8.76,9.47,10.24,11.07,16,21
Iraq,0,,,,,,,,,,,0.0984532352,0.4932603954,0.5926952857,0.8903256172,0.892206863,0.9425670489,0.9194588193,0.9881651354,1.0475166158,2.4719620067,4.9549454873
